Platform,Action,Action-Adventure,Adventure,Fighting,Platformer,Puzzle,RPG,Racing,Shooter,Simulation,Sports,Strategy
Dreamcast,6.882857,7.511111,6.281818,8.200000,8.340000,8.088889,7.700000,7.042500,7.616667,7.628571,7.272222,6.433333
Game Boy Advance,6.373077,7.507692,6.057143,6.226316,6.970588,6.532143,7.542857,6.657143,6.444444,6.928571,6.694444,7.175000
Game Boy Color,6.272727,8.166667,5.307692,4.500000,6.352941,6.583333,7.285714,5.897436,4.500000,5.900000,5.790698,7.400000
GameCube,6.532584,7.608333,6.753846,7.422222,6.665714,6.133333,7.890909,6.852632,6.981818,8.028571,7.481319,7.116667
Nintendo 3DS,6.670833,7.481818,7.414286,6.614286,7.503448,8.000000,7.719231,6.900000,7.033333,7.700000,6.388889,7.900000
Nintendo64,6.649057,8.250000,7.000000,5.681250,6.889655,7.461538,6.050000,6.939623,8.042857,5.675000,6.967857,6.900000
Nintendo DS,5.903608,7.240000,6.259804,6.320000,6.840000,6.604615,7.222619,6.038636,6.965217,5.874359,5.936667,6.644737
Nintendo DSi,6.827027,8.500000,6.090909,7.500000,7.250000,6.810526,7.166667,6.563636,6.500000,5.195652,5.644444,6.566667
PC,6.805791,7.334746,7.136798,7.166667,7.410938,6.924706,7.759930,7.032418,7.084878,7.104889,6.902424,7.310207
PlayStation,6.016406,7.933333,6.313725,6.553731,6.579070,6.757895,7.910000,6.773387,6.424000,6.918182,6.751220,6.496875
PlayStation 2,6.467361,7.250000,6.315152,7.306349,7.068421,6.354545,7.473077,6.585065,6.641667,7.152632,7.197826,7.238889
PlayStation 3,6.853819,7.306154,6.820988,7.710938,7.735714,7.350000,7.436111,6.978571,7.219553,7.142857,7.485816,7.355172
PlayStation 4,7.550000,7.835294,7.388571,7.280000,8.390909,7.400000,7.944000,7.590000,7.804444,9.250000,7.430000,6.566667
PlayStation Portable,6.467797,7.000000,6.938095,6.822222,7.194737,6.726667,6.817778,6.401961,7.071053,6.761538,6.956790,6.550000
PlayStation Vita,7.173077,6.133333,8.057143,7.527273,8.568750,8.250000,7.337500,6.300000,7.660000,5.725000,7.130000,8.900000
Wii,6.262718,7.294643,6.234043,6.733333,7.054255,6.426984,7.410345,5.011667,6.479798,6.327027,5.966901,6.975000
Wireless,7.041699,7.312500,6.972414,6.740000,7.509091,7.360550,8.260000,6.898305,6.906780,7.802857,7.417699,7.542857
Xbox,6.819512,7.479032,6.821429,7.029630,7.303448,5.125000,8.277778,7.021591,7.485417,7.155556,7.884397,7.313333
Xbox 360,6.719048,7.137838,6.857353,7.552239,7.559574,7.141026,7.650000,6.996154,7.338153,7.325000,7.317857,7.112245
Xbox One,7.702857,7.566667,7.254545,7.171429,6.733333,8.100000,8.291667,8.163636,8.020000,7.733333,7.331818,8.500000
iPhone,6.865445,7.764286,7.745833,6.087500,7.471930,7.810784,7.185185,7.315789,6.995588,7.328571,7.152174,7.534921